Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1mPNK9DQVA7gJNtJ20PZu3,Ek Ajnabee Haseena Se,Ajanabee,Kishore Kumar;R. D. Burman,1974-09-18,266145,69,False,id6igetvjdgwz1r2624sec80n,2024-06-13T18:41:42Z,"ghazal,bangla pop,hindi pop,bollywood",Saregama,0.331,0.551,6.0,-8.505,1.0,0.0379,0.989,0.511,0.564,0.664,97.18,4.0
spotify:track:5P49QyK81dOSc3W7iWDlAT,Rimjhim Gire Sawan,Manzil,Kishore Kumar;Lata Mangeshkar;R. D. Burman,1979-05-14,216373,62,False,id6igetvjdgwz1r2624sec80n,2025-08-19T08:53:42Z,"ghazal,bangla pop,hindi pop,bollywood,bhajan,marathi pop",Saregama,0.376,0.462,1.0,-9.545,0.0,0.0335,0.823,0.004,0.122,0.736,106.954,3.0
spotify:track:0HYCmBzDv8QHEnT3mV16Hy,Tadpaoge Tadpa Lo,Barkha,Lata Mangeshkar,1959-01-01,201453,60,False,id6igetvjdgwz1r2624sec80n,2025-07-16T14:37:12Z,"ghazal,bollywood,bhajan,hindi pop,marathi pop",Saregama,0.653,0.502,5.0,-9.072,1.0,0.04,0.594,0.0,0.239,0.912,154.191,4.0
spotify:track:6Rl4eDKFpvntiRKtPn8d5V,Ajib Dastan Hai Yeh,Dil Apna Aur Preet Parai,Lata Mangeshkar,1960-01-01,315613,56,False,id6igetvjdgwz1r2624sec80n,2024-06-13T18:56:08Z,"ghazal,bollywood,bhajan,hindi pop,marathi pop",Saregama,0.566,0.412,5.0,-12.63,1.0,0.0309,0.875,0.00314,0.204,0.68,102.478,4.0
spotify:track:2rHxwYzdn66nDMmDmmio6W,Ham Tere Pyar Mein,Dil Ek Mandir,Lata Mangeshkar,1963-01-01,286866,61,False,id6igetvjdgwz1r2624sec80n,2025-03-20T12:38:54Z,"ghazal,bollywood,bhajan,hindi pop,marathi pop",Saregama,0.446,0.359,3.0,-8.081,1.0,0.0515,0.949,6.69e-05,0.304,0.842,178.417,3.0
spotify:track:3vLFA2nTU6usnRbYrmVo6f,Itna Na Mujhse Tu Pyar Badha,Chhaya,Talat Mahmood;Lata Mangeshkar;Salil Chowdhury,1961-01-01,235333,68,False,id6igetvjdgwz1r2624sec80n,2024-12-11T05:39:56Z,"ghazal,bollywood,bhajan,hindi pop,marathi pop,bangla pop,malayalam pop",Saregama,0.503,0.294,9.0,-14.474,0.0,0.0573,0.962,0.133,0.171,0.845,138.348,4.0
spotify:track:6UeEm5XPsleVD85kNHCu1n,Yeh Sham Mastani,Kati Patang,Kishore Kumar;R. D. Burman,1970-01-01,276855,71,False,id6igetvjdgwz1r2624sec80n,2024-06-13T18:41:29Z,"ghazal,bangla pop,hindi pop,bollywood",Saregama,0.447,0.476,6.0,-11.007,1.0,0.0343,0.891,0.0,0.323,0.563,116.187,4.0
spotify:track:6Frhkb7giXWjeJAX2dJT88,O Mere Dil Ke Chain,Mere Jeevan Saathi,Kishore Kumar;R. D. Burman,1972-01-01,276693,68,False,id6igetvjdgwz1r2624sec80n,2024-06-13T18:41:23Z,"ghazal,bangla pop,hindi pop,bollywood",Saregama,0.461,0.377,9.0,-13.273,0.0,0.0307,0.872,0.0,0.0836,0.541,109.017,4.0
spotify:track:0C47mkZ7VGcnKBvEG7PiAP,Abhi Na Jao Chhod Kar,Hum Dono,Asha Bhosle;Mohammed Rafi,1961-01-01,255026,63,False,id6igetvjdgwz1r2624sec80n,2024-06-13T18:41:08Z,"ghazal,marathi pop,bangla pop,bollywood,hindi pop",Saregama,0.521,0.421,3.0,-9.856,1.0,0.0355,0.607,0.187,0.329,0.551,96.444,3.0
spotify:track:61OuMhMwq1ukmfrOnrrQGV,Intaha Ho Gai Intezar Ki,Sharaabi,Kishore Kumar;Asha Bhosle,1984-05-18,529635,64,False,id6igetvjdgwz1r2624sec80n,2025-05-08T13:36:24Z,"ghazal,bangla pop,hindi pop,bollywood,marathi pop",Saregama,0.409,0.591,4.0,-7.035,0.0,0.0624,0.852,0.000575,0.66,0.378,138.606,4.0
spotify:track:6UIW6bm2VJKMP4T0jqgD2D,Yeh Jo Mohabbat Hai,Kati Patang,Kishore Kumar;R. D. Burman,1970-01-01,247756,61,False,id6igetvjdgwz1r2624sec80n,2024-11-05T08:31:21Z,"ghazal,bangla pop,hindi pop,bollywood",Saregama,0.378,0.665,3.0,-6.135,0.0,0.0789,0.939,0.0,0.359,0.618,158.325,3.0
spotify:track:6MZCYPT3hZPzwJGLnXn1RF,Bade Achhe Lagte Hain,Balika Badhu,Amit Kumar;R. D. Burman,1976-03-15,312080,64,False,id6igetvjdgwz1r2624sec80n,2024-06-13T18:56:08Z,"bollywood,ghazal,hindi pop,bangla pop",Saregama,0.378,0.146,6.0,-15.412,1.0,0.0403,0.897,1.62e-05,0.122,0.178,138.649,3.0
spotify:track:7FOTN3rhNJ98H6SPr7TFtr,Unse Mili Nazar Ke Mere Hosh Ud Gai,Jhuk Gaya Aasman,Lata Mangeshkar,1968-01-01,245226,62,False,id6igetvjdgwz1r2624sec80n,2025-01-27T07:02:21Z,"ghazal,bollywood,bhajan,hindi pop,marathi pop",Saregama,0.558,0.351,9.0,-17.959,1.0,0.0528,0.959,0.000583,0.0393,0.941,78.867,4.0
spotify:track:13uRpHN3vdbt3B6xUyQEXu,Chand Mera Dil Chandni Ho Tum,Hum Kisise Kum Naheen,Mohammed Rafi;R. D. Burman,1977-08-25,177560,47,False,id6igetvjdgwz1r2624sec80n,2025-08-18T08:55:53Z,"ghazal,hindi pop,bollywood,bangla pop",Saregama,0.488,0.432,7.0,-13.694,1.0,0.0389,0.458,2.59e-06,0.102,0.694,138.358,4.0
spotify:track:2P7i3LoqblIGiNk1Jmbc30,Kahin Door Jab Din Dhal Jaye,Anand,Mukesh;Salil Chowdhury,1971-05-03,337386,63,False,id6igetvjdgwz1r2624sec80n,2024-06-13T18:59:10Z,"ghazal,tamil dance,bangla pop,malayalam pop",Saregama,0.521,0.424,5.0,-7.392,1.0,0.0347,0.852,1.08e-06,0.301,0.484,91.351,4.0
spotify:track:2IWhu2HrHttIUcw0Omn1Gr,Bahon Mein Chale Aao,Anamika,Lata Mangeshkar;R. D. Burman,1972-01-01,241666,63,False,id6igetvjdgwz1r2624sec80n,2024-12-09T09:13:13Z,"ghazal,bollywood,bhajan,hindi pop,marathi pop,bangla pop",Saregama,0.482,0.211,6.0,-16.491,1.0,0.0353,0.8,1.48e-06,0.159,0.612,72.754,4.0
spotify:track:5XTdgOtJYAOXiw2gHW2KmQ,Kya Hua Tera Vada,Hum Kisise Kum Naheen,Sushma Shrestha;Mohammed Rafi;R. D. Burman,1977-08-25,257984,67,False,id6igetvjdgwz1r2624sec80n,2024-06-13T18:41:18Z,"ghazal,hindi pop,bollywood,bangla pop",Saregama,0.507,0.583,5.0,-5.7,1.0,0.0283,0.211,3.79e-06,0.111,0.777,99.287,4.0
spotify:track:0es02Rp0p0WpC4WRBDtM8P,Likhe Jo Khat Tujhe,Kanyadaan,Mohammed Rafi,1968-01-01,273533,63,False,id6igetvjdgwz1r2624sec80n,2024-06-13T18:41:13Z,"ghazal,hindi pop",Saregama,0.375,0.449,11.0,-13.439,0.0,0.0337,0.89,0.139,0.326,0.744,106.603,4.0
spotify:track:1QqtOXpvfLPW4yEuAXJKDk,Ek Hasina Thi Ek Diwana Tha,Karz,Kishore Kumar;Asha Bhosle;Rishi Kapoor;Laxmikant–Pyarelal,1980-06-11,472946,45,False,id6igetvjdgwz1r2624sec80n,2024-12-11T05:38:28Z,"ghazal,bangla pop,hindi pop,bollywood,marathi pop,bhajan",Saregama,0.361,0.63,0.0,-9.612,0.0,0.0665,0.715,5.27e-06,0.306,0.444,116.69,4.0
spotify:track:3B3MQlP4NPAxE2HEE2sEsS,Pyar Hua Iqrar Hua,Shree 420,Manna Dey;Lata Mangeshkar,1955-06-09,260426,55,False,id6igetvjdgwz1r2624sec80n,2024-12-09T09:09:35Z,"bangla pop,ghazal,bhajan,bollywood,hindi pop,marathi pop",Saregama,0.444,0.469,6.0,-9.624,0.0,0.0307,0.747,0.000152,0.238,0.862,126.696,4.0
spotify:track:1SMNDZ0CR4W27fCU8Remqq,Ehsan Tera Hoga Mujh Par,Junglee,Mohammed Rafi,1961-01-01,206893,53,False,id6igetvjdgwz1r2624sec80n,2024-06-13T18:56:08Z,"ghazal,hindi pop",Saregama,0.604,0.367,8.0,-9.562,0.0,0.0412,0.671,5.12e-06,0.106,0.616,89.76,4.0
spotify:track:6IQyVF1FX0ayTDpxHQIaB5,Kuchh Na Kaho - Happy,1942 A Love Story,Kumar Sanu;R. D. Burman,1994-04-15,365642,52,False,id6igetvjdgwz1r2624sec80n,2025-04-11T06:50:38Z,"bollywood,hindi pop,ghazal,bangla pop",Saregama,0.473,0.671,10.0,-7.567,1.0,0.043,0.0223,1.83e-05,0.0874,0.464,141.082,3.0
spotify:track:3tzNahvEgF6D5BgARz8rzS,Kisi Ki Muskurahaton Se,Anari,Mukesh,1959-01-01,269333,50,False,id6igetvjdgwz1r2624sec80n,2024-12-09T09:09:06Z,"ghazal,tamil dance",Saregama,0.394,0.303,0.0,-13.401,0.0,0.049,0.748,2.02e-05,0.0656,0.837,207.348,4.0
spotify:track:3DaK9NznMax9b45HJQ7jVt,Je Hum Tum Chori Se,Dharti Kahe Pukar Ke,Lata Mangeshkar;Mukesh;Laxmikant–Pyarelal,1969-01-01,326912,52,False,id6igetvjdgwz1r2624sec80n,2025-03-10T06:27:07Z,"ghazal,bollywood,bhajan,hindi pop,marathi pop,tamil dance",Saregama,0.524,0.34,5.0,-7.016,1.0,0.0531,0.836,0.0,0.233,0.728,151.543,4.0
spotify:track:1vi4SYpDhUVf4R247VpzMv,Ye Dil Tum Bin Lagta Nahin,Izzat,Lata Mangeshkar;Mohammed Rafi;Laxmikant–Pyarelal,1968-01-01,351506,53,False,id6igetvjdgwz1r2624sec80n,2025-01-27T06:53:17Z,"ghazal,bollywood,bhajan,hindi pop,marathi pop",Saregama,0.403,0.316,7.0,-12.482,1.0,0.0338,0.814,0.0,0.0789,0.578,141.778,3.0
spotify:track:3wY157vtLumAlFxBKTeInE,O Mere Sona Re Sona,Teesri Manzil,Asha Bhosle;Mohammed Rafi;R. D. Burman,1966-01-01,300088,55,False,id6igetvjdgwz1r2624sec80n,2024-12-03T06:50:40Z,"ghazal,marathi pop,bangla pop,bollywood,hindi pop",Saregama,0.676,0.551,3.0,-6.586,1.0,0.0813,0.915,0.0,0.294,0.907,108.82,4.0
spotify:track:4jDfPSa6zoZ4xGTSmyrg8i,Khoya Khoya Chand Khula Aasman,Kala Bazar,Mohammed Rafi;S. D. Burman,1960-01-01,280080,40,False,id6igetvjdgwz1r2624sec80n,2024-12-11T06:14:12Z,"ghazal,hindi pop",Saregama,0.503,0.549,9.0,-7.436,1.0,0.0347,0.749,1.66e-05,0.508,0.742,81.369,4.0
spotify:track:2nXAlq5ltlwUdzK4bInSOu,Ramaiya Vastavaiya,Shree 420,Lata Mangeshkar;Mohammed Rafi;Mukesh,1955-06-09,360893,45,False,id6igetvjdgwz1r2624sec80n,2024-12-09T09:15:03Z,"ghazal,bollywood,bhajan,hindi pop,marathi pop,tamil dance",Saregama,0.398,0.414,3.0,-9.696,1.0,0.0602,0.661,0.0,0.618,0.647,170.707,3.0
spotify:track:4M6QtwT7kFCMqztO4E96kk,Tujhse Naraz Nahin Zindagi - Lata Mangeshkar,Masoom,Lata Mangeshkar;Gulzar;R. D. Burman,1982-12-31,220106,57,False,id6igetvjdgwz1r2624sec80n,2024-06-13T18:59:15Z,"ghazal,bollywood,bhajan,hindi pop,marathi pop,desi,bangla pop",Saregama,0.611,0.292,9.0,-12.809,1.0,0.0283,0.308,0.00256,0.185,0.65,96.937,4.0
spotify:track:2MAQWNhW0jKI0qWnNNO8C9,Main Pal Do Pal Ka Shair Hoon,Kabhi Kabhie,Mukesh,1976-01-27,204040,56,False,id6igetvjdgwz1r2624sec80n,2024-06-13T19:00:36Z,"ghazal,tamil dance",Saregama,0.565,0.334,4.0,-13.626,1.0,0.0309,0.85,0.0,0.632,0.64,124.193,4.0
spotify:track:5B29YNjG7dx0GfU19ZBEpo,Dekha Ek Khwab - II,Silsila,Lata Mangeshkar;Kishore Kumar,1981-07-29,320733,61,False,id6igetvjdgwz1r2624sec80n,2025-01-27T06:49:14Z,"ghazal,bollywood,bhajan,hindi pop,marathi pop,bangla pop",Saregama India Ltd,0.367,0.299,4.0,-14.557,1.0,0.0597,0.941,0.00402,0.423,0.383,147.363,3.0
spotify:track:5Y5c5bJK0O7KJDDAYKkppH,Lag Ja Gale Se Phir,Woh Kaun Thi,Lata Mangeshkar,1964-01-01,257613,61,False,id6igetvjdgwz1r2624sec80n,2024-06-13T18:41:03Z,"ghazal,bollywood,bhajan,hindi pop,marathi pop",Saregama,0.312,0.452,8.0,-11.872,1.0,0.0391,0.796,0.000874,0.286,0.391,132.485,3.0
spotify:track:0m23fTE5D9lfYyVyfm5RoL,Ek Main Aur Ek Tu,Khel Khel Mein,Asha Bhosle;Kishore Kumar;R. D. Burman,1975-03-20,290146,57,False,id6igetvjdgwz1r2624sec80n,2024-11-05T07:55:07Z,"ghazal,marathi pop,bangla pop,bollywood,hindi pop",Saregama,0.46,0.396,8.0,-9.356,1.0,0.0543,0.736,5.62e-05,0.123,0.715,119.663,4.0
spotify:track:0XprgFKfXIDkgHZ4iYVIjk,Panna Ki Tamanna Hai,Heera Panna,Kishore Kumar;Lata Mangeshkar;R. D. Burman,1973-01-01,347318,61,False,id6igetvjdgwz1r2624sec80n,2024-11-12T13:31:33Z,"ghazal,bangla pop,hindi pop,bollywood,bhajan,marathi pop",Saregama,0.556,0.564,7.0,-5.162,1.0,0.0275,0.837,0.0,0.219,0.586,110.102,4.0
spotify:track:3qVMBTeRBjKVRvs9Jmlr8w,Rimjhim Gire Sawan - Lata Mangeshkar,Manzil,Lata Mangeshkar;R. D. Burman,1979-05-14,193227,40,False,id6igetvjdgwz1r2624sec80n,2024-06-13T18:58:13Z,"ghazal,bollywood,bhajan,hindi pop,marathi pop,bangla pop",Saregama,0.468,0.263,9.0,-13.268,1.0,0.0524,0.971,0.761,0.129,0.629,131.622,4.0
spotify:track:3LllvNPZFMxJ4vLWuUBAHG,Ruk Ja O Dil Deewane,Dilwale Dulhania Le Jayenge,Udit Narayan,1995-10-20,310453,60,False,id6igetvjdgwz1r2624sec80n,2025-01-27T06:51:56Z,"bollywood,hindi pop,desi",Saregama,0.635,0.811,2.0,-10.157,1.0,0.0691,0.717,0.00539,0.342,0.881,106.15,4.0
spotify:track:3ane0tGLYlOevmitYXQ9yy,Mera Joota Hai Japani,Shree 420,Mukesh,1955-06-09,268533,34,False,id6igetvjdgwz1r2624sec80n,2024-12-09T09:10:05Z,"ghazal,tamil dance",Saregama,0.764,0.569,11.0,-9.369,0.0,0.0287,0.343,0.0,0.0574,0.965,110.618,4.0
spotify:track:3Vp2ThwP6W4rxyIb4c9LzO,Jeena Yahan Marna Yahan - With Dialogue,Mera Naam Joker,Mukesh,1970-12-31,268898,42,False,id6igetvjdgwz1r2624sec80n,2024-12-10T11:00:41Z,"ghazal,tamil dance",Saregama,0.281,0.538,5.0,-5.818,1.0,0.0347,0.608,0.0165,0.403,0.49,83.793,3.0
spotify:track:1Nk0D3MqVBkvk7diTbbbkU,Aa Ab Laut Chalen,Jis Desh Mein Ganga Behti Hai,Mukesh;Lata Mangeshkar,1960-01-01,262906,34,False,id6igetvjdgwz1r2624sec80n,2024-12-09T09:10:36Z,"ghazal,tamil dance,bollywood,bhajan,hindi pop,marathi pop",Saregama,0.292,0.567,9.0,-7.705,0.0,0.0396,0.872,0.00212,0.44,0.667,146.92,4.0
spotify:track:2wM51RIXhiuFbILoaPp72w,Ek Ladki Bheegi Bhagi Si,Chalti Ka Naam Gaadi,Kishore Kumar;S. D. Burman,1958-01-01,236800,54,False,id6igetvjdgwz1r2624sec80n,2024-11-05T08:29:57Z,"ghazal,bangla pop,hindi pop,bollywood",Saregama,0.572,0.453,4.0,-7.01,0.0,0.0544,0.808,0.0,0.154,0.893,120.287,4.0
spotify:track:57l24qsMzRsvecxRM0tfC6,Tere Bina Zindagi Se,Aandhi,Lata Mangeshkar;Kishore Kumar;R. D. Burman,1975-12-31,354013,51,False,id6igetvjdgwz1r2624sec80n,2024-11-05T08:32:27Z,"ghazal,bollywood,bhajan,hindi pop,marathi pop,bangla pop",Saregama,0.372,0.419,3.0,-9.876,1.0,0.0295,0.93,1.01e-06,0.121,0.456,92.381,4.0
spotify:track:0p7EstNUg5VYyD8jxs1Na7,Hai Apna Dil To Aawara - Happy,Solva Saal,Hemant Kumar;S. D. Burman,1958-01-01,261825,51,False,id6igetvjdgwz1r2624sec80n,2024-06-13T19:01:09Z,"bangla pop,ghazal,marathi pop",Saregama,0.605,0.469,6.0,-10.606,1.0,0.0571,0.572,0.000948,0.59,0.934,110.457,4.0
spotify:track:2FArWjBAnAmh4IpxWQGCpq,Tu Mere Samne,Darr,Lata Mangeshkar;Udit Narayan,1993-12-24,366573,57,False,id6igetvjdgwz1r2624sec80n,2024-12-03T06:51:36Z,"ghazal,bollywood,bhajan,hindi pop,marathi pop,desi",Saregama,0.462,0.405,7.0,-13.949,0.0,0.0349,0.733,0.0,0.238,0.631,102.46,4.0
spotify:track:5ZKMBzpA8E2dDOmL06pK3J,Yeh Raaten Yeh Mausam,Dilli Ka Thug,Kishore Kumar;Asha Bhosle,1958-01-01,201160,64,False,id6igetvjdgwz1r2624sec80n,2024-06-13T18:41:36Z,"ghazal,bangla pop,hindi pop,bollywood,marathi pop",Saregama,0.501,0.217,4.0,-12.355,0.0,0.0481,0.976,1.56e-06,0.146,0.726,149.763,3.0
spotify:track:7ukboFFuDuxKWRdxahmth7,Beqarar Karke Hamen Yun Na Jaiye,Bees Saal Baad,Hemant Kumar,1962-01-01,189880,61,False,id6igetvjdgwz1r2624sec80n,2024-11-05T07:57:16Z,"bangla pop,ghazal,marathi pop",Saregama,0.653,0.446,10.0,-11.823,0.0,0.0483,0.971,0.251,0.621,0.757,113.465,4.0
spotify:track:11IpCZVWahQVaRNoNX5WbF,Aap Ki Nazron Ne Samjha,Anpadh,Lata Mangeshkar,1961-01-01,234893,57,False,id6igetvjdgwz1r2624sec80n,2024-06-13T18:57:28Z,"ghazal,bollywood,bhajan,hindi pop,marathi pop",Saregama,0.339,0.373,4.0,-9.576,0.0,0.0409,0.818,0.0,0.61,0.583,173.743,1.0
spotify:track:3l7vUdzFY1zr2ilOVtukO8,Lagi Aaj Sawan Ki,Chandni,Suresh Wadkar;Anupama,1989-09-14,215266,56,False,id6igetvjdgwz1r2624sec80n,2024-06-13T18:56:08Z,"bhajan,marathi pop,devotional,ghazal,tamil pop",Saregama,0.436,0.692,7.0,-7.41,0.0,0.0449,0.878,0.000241,0.146,0.351,93.887,4.0
spotify:track:6Jls8hMpkggufRfwiqrCj3,Tum Itna Jo Muskura Rahe Ho,Arth,Jagjit Singh,1982-12-03,321311,60,False,id6igetvjdgwz1r2624sec80n,2024-06-13T18:57:20Z,"ghazal,bhajan,qawwali,sufi,devotional",Saregama,0.375,0.331,4.0,-12.649,1.0,0.0322,0.35,1.46e-05,0.178,0.593,171.356,4.0
spotify:track:3fmCLyN16M1o3OqxMwHEAO,Mujhse Juda Hokar,Hum Aapke Hain Koun,Lata Mangeshkar;S. P. Balasubrahmanyam,1994-08-05,362173,60,False,id6igetvjdgwz1r2624sec80n,2024-12-03T06:50:59Z,"ghazal,bollywood,bhajan,hindi pop,marathi pop,kannada pop,telugu pop,tamil pop,devotional,tollywood,sandalwood,kollywood",Saregama,0.553,0.38,5.0,-18.311,0.0,0.0397,0.446,2.87e-05,0.307,0.861,161.161,4.0
spotify:track:4YZJr7NL2fmZkPI3CXeNhV,Bheegi Bheegi Raaton Mein,Ajanabee,Lata Mangeshkar;Kishore Kumar;R. D. Burman,1974-09-18,228960,55,False,id6igetvjdgwz1r2624sec80n,2024-06-13T18:58:26Z,"ghazal,bollywood,bhajan,hindi pop,marathi pop,bangla pop",Saregama,0.493,0.604,1.0,-7.304,0.0,0.0455,0.989,0.655,0.242,0.716,95.966,4.0
spotify:track:1xNN6c8eW8Mm9uz9nVqln9,Isharon Isharon Men Dil Lenewale,Kashmir Ki Kali,Asha Bhosle;Mohammed Rafi,1964-01-01,290400,55,False,id6igetvjdgwz1r2624sec80n,2025-02-13T07:38:47Z,"ghazal,marathi pop,bangla pop,bollywood,hindi pop",Saregama,0.439,0.447,5.0,-7.341,1.0,0.0413,0.964,0.00213,0.136,0.56,137.156,4.0
spotify:track:6a9JaoHp5F9lVA7dCjfIHk,Mere Mehboob Qayamat Hogi,Classic Revival Ni Sultana Re,Kishore Kumar;Laxmikant–Pyarelal,2000-02-10,243160,59,False,id6igetvjdgwz1r2624sec80n,2024-06-13T18:56:08Z,"ghazal,bangla pop,hindi pop,bollywood,bhajan",Saregama,0.324,0.46,3.0,-10.583,1.0,0.0671,0.656,0.000185,0.135,0.346,98.656,4.0
spotify:track:5fW4gRS99wXOOuYRV03W5X,Aaj Mausam Bada Beimaan Hai,Loafer,Mohammed Rafi;Laxmikant–Pyarelal,1973-03-12,374256,56,False,id6igetvjdgwz1r2624sec80n,2024-06-13T18:58:20Z,"ghazal,hindi pop,bhajan",Saregama,0.355,0.426,0.0,-11.143,1.0,0.0349,0.845,0.00123,0.0916,0.601,67.926,4.0
spotify:track:53keqrDTkt1GE9hJgUoql4,Aa Chal Ke Tujhe,Door Gagan Ki Chhaon Mein,Kishore Kumar,1964-01-01,279463,63,False,id6igetvjdgwz1r2624sec80n,2024-06-13T18:59:22Z,"ghazal,bangla pop,hindi pop,bollywood",Saregama India Ltd,0.428,0.493,5.0,-7.399,0.0,0.0342,0.367,0.00327,0.0928,0.298,111.795,4.0
spotify:track:7bwNvQj2ZYNRVTMwaajPkl,Uden Jab Jab Zulfen Teri,Naya Daur,Mohammed Rafi;Asha Bhosle,1957-01-01,295926,49,False,id6igetvjdgwz1r2624sec80n,2025-01-27T06:53:01Z,"ghazal,hindi pop,marathi pop,bangla pop,bollywood",Saregama India Ltd,0.525,0.715,6.0,-7.658,1.0,0.097,0.479,0.000633,0.225,0.961,135.0,4.0
spotify:track:5ZMuv6ESQmOHfXrm8FFncr,Mere Samnewali Khidki Mein,Padosan,Kishore Kumar;R. D. Burman,1968-01-01,172570,61,False,id6igetvjdgwz1r2624sec80n,2024-06-13T18:58:37Z,"ghazal,bangla pop,hindi pop,bollywood",Saregama,0.683,0.695,7.0,-5.512,1.0,0.0931,0.768,1.98e-05,0.296,0.865,137.208,4.0
spotify:track:0Yu6DMaU2w0777Ek5XQNyI,Pyar Diwana Hota Hai,Kati Patang,Kishore Kumar;R. D. Burman,1970-01-01,284133,59,False,id6igetvjdgwz1r2624sec80n,2024-06-13T18:58:43Z,"ghazal,bangla pop,hindi pop,bollywood",Saregama,0.551,0.661,5.0,-7.609,1.0,0.04,0.656,0.0,0.363,0.826,123.619,4.0
spotify:track:1TAoZRnSmZOOXUSoJqycxN,Main Zindagi Ka Saath Nibhata Chala Gaya,Hum Dono,Mohammed Rafi,1961-01-01,230640,45,False,id6igetvjdgwz1r2624sec80n,2024-06-13T18:58:48Z,"ghazal,hindi pop",Saregama,0.65,0.449,5.0,-9.406,1.0,0.0363,0.389,0.000782,0.058,0.853,132.129,3.0
spotify:track:2hWUcbgPqVsvsgHMWEvSUe,Aap Ki Ankhon Mein Kuch,Ghar,Kishore Kumar;Lata Mangeshkar;R. D. Burman,1978-02-09,249173,60,False,id6igetvjdgwz1r2624sec80n,2024-06-13T18:58:59Z,"ghazal,bangla pop,hindi pop,bollywood,bhajan,marathi pop",Saregama,0.53,0.564,3.0,-7.137,1.0,0.0323,0.22,0.0032,0.258,0.349,100.187,4.0
spotify:track:7LUmfO50lJm4XaUtBlYy8c,Kabhi Kabhi Mere Dil Mein Solo By Mukesh,Kabhi Kabhie,Mukesh,1976-01-27,285022,50,False,id6igetvjdgwz1r2624sec80n,2025-01-27T06:58:23Z,"ghazal,tamil dance",Saregama,0.492,0.264,4.0,-13.098,1.0,0.0308,0.941,5.53e-06,0.241,0.514,109.28,4.0
spotify:track:2YbrPbCH4tCSRvnnl9mpAX,Mera Saaya Saath Hoga,Mera Saaya,Lata Mangeshkar,1966-01-01,363200,44,False,id6igetvjdgwz1r2624sec80n,2024-06-13T18:59:05Z,"ghazal,bollywood,bhajan,hindi pop,marathi pop",Saregama,0.548,0.422,2.0,-10.23,1.0,0.029,0.982,0.102,0.229,0.585,95.372,4.0
spotify:track:1KaNtSpU12ZFyTPc07gTht,Jane Woh Kaise Log The,Pyaasa,Hemant Kumar;S. D. Burman,1957-12-31,259120,56,False,id6igetvjdgwz1r2624sec80n,2024-11-05T08:30:36Z,"bangla pop,ghazal,marathi pop",Saregama,0.512,0.273,4.0,-8.322,1.0,0.0377,0.956,0.0,0.0829,0.492,92.875,4.0
spotify:track:5VP6rxxsMlotzqe8dK5Vt7,Maine Tere Liye,Anand,Mukesh;Salil Chowdhury,1971-05-03,186493,42,False,id6igetvjdgwz1r2624sec80n,2024-06-13T18:59:27Z,"ghazal,tamil dance,bangla pop,malayalam pop",Saregama,0.596,0.66,3.0,-6.083,1.0,0.0309,0.85,0.000424,0.371,0.894,126.197,4.0
spotify:track:2KTP44IQ9n51VoRM1Otijb,Naam Goom Jayega,Revival Vol.14 - Dil Deke Dekho,Lata Mangeshkar;Bhupinder Singh;R. D. Burman,2000-05-20,352793,43,False,id6igetvjdgwz1r2624sec80n,2024-06-13T18:57:42Z,"ghazal,bollywood,bhajan,hindi pop,marathi pop,bangla pop",Saregama,0.255,0.393,2.0,-12.147,1.0,0.03,0.833,0.713,0.118,0.329,90.445,4.0
spotify:track:2yRBJpAD66GuNRKQ8bKXtY,Chura Liya Hai Tumne Jo Dil Ko,Yaadon Ki Baaraat,Asha Bhosle;Mohammed Rafi;R. D. Burman,1973-03-11,287840,61,False,id6igetvjdgwz1r2624sec80n,2024-06-13T18:59:34Z,"ghazal,marathi pop,bangla pop,bollywood,hindi pop",Saregama,0.56,0.318,9.0,-11.106,0.0,0.0317,0.857,1.88e-06,0.11,0.684,80.238,4.0
spotify:track:2thv7dQ0No98nF5YFX4tOJ,Aao Huzoor Tumko,Kismet,Asha Bhosle,1968-01-01,352920,45,False,id6igetvjdgwz1r2624sec80n,2024-06-13T18:59:42Z,"ghazal,marathi pop,bangla pop,bollywood,hindi pop",Saregama,0.492,0.213,11.0,-11.224,0.0,0.0446,0.916,7.05e-06,0.148,0.521,110.498,4.0
spotify:track:4nEKA1qrppgDexxV25EvKs,Chaudhvin Ka Chand Ho,Chaudhvin Ka Chand,Mohammed Rafi,1960-01-01,223506,37,False,id6igetvjdgwz1r2624sec80n,2024-06-13T18:59:55Z,"ghazal,hindi pop",Saregama,0.524,0.28,7.0,-7.078,1.0,0.0289,0.899,0.0,0.144,0.525,97.691,4.0
spotify:track:10qfuMs3MlQClbjc2aV0ez,Mera Dil Yeh Pukare Aaja,Nagin,Lata Mangeshkar;Hemant Kumar,1954-01-01,193093,41,False,id6igetvjdgwz1r2624sec80n,2024-06-13T19:00:02Z,"ghazal,bollywood,bhajan,hindi pop,marathi pop,bangla pop",Saregama,0.301,0.188,7.0,-13.96,0.0,0.0392,0.974,0.0491,0.167,0.513,182.938,4.0
